batter,opportunities,successes,success_rate
Michael Massey,184,61,0.33152173913043476
Julio Rodríguez,338,112,0.33136094674556216
Jared Triolo,148,49,0.3310810810810811
Chandler Simpson,284,94,0.33098591549295775
Samuel Basallo,245,81,0.3306122448979592
José Fermín,115,38,0.33043478260869563
Francisco Lindor,100,33,0.33
Wyatt Langford,146,48,0.3287671232876712
Colt Keith,216,71,0.3287037037037037
Jhonny Pereda,70,23,0.32857142857142857
Myles Straw,137,45,0.3284671532846715
Ryan Waldschmidt,122,40,0.32786885245901637
Joe Mack,122,40,0.32786885245901637
Jackson Merrill,305,100,0.32786885245901637
Dansby Swanson,284,93,0.3274647887323944
Victor Mesa Jr.,55,18,0.32727272727272727
Tyler Stephenson,211,69,0.32701421800947866
George Springer,248,81,0.32661290322580644
Cam Smith,297,97,0.3265993265993266
Jimmy Crooks,46,15,0.32608695652173914
Mookie Betts,181,59,0.3259668508287293
Darell Hernaiz,135,44,0.32592592592592595
Jake Fraley,89,29,0.3258426966292135
Jesus Rodriguez,43,14,0.32558139534883723
Francisco Alvarez,169,55,0.3254437869822485
Owen Caissie,209,68,0.3253588516746411
Pedro Ramírez,40,13,0.325
Andrew Benintendi,240,78,0.325
Ildemaro Vargas,259,84,0.32432432432432434
Edgar Quero,173,56,0.3236994219653179
Spencer Jones,65,21,0.3230769230769231
Rhys Hoskins,220,71,0.32272727272727275
Adam Frazier,93,30,0.3225806451612903
Braden Shewmake,84,27,0.32142857142857145
Sebastián Rivero,56,18,0.32142857142857145
Mitch Garver,112,36,0.32142857142857145
J.T. Realmuto,193,62,0.32124352331606215
Eugenio Suárez,193,62,0.32124352331606215
Ryan Ward,53,17,0.32075471698113206
Yoán Moncada,125,40,0.32
Orlando Arcia,50,16,0.32
Tyler Tolbert,25,8,0.32
Yainer Diaz,119,38,0.31932773109243695
Kody Clemens,257,82,0.31906614785992216
Joey Bart,69,22,0.3188405797101449
Tyler Heineman,91,29,0.31868131868131866
Miguel Andujar,195,62,0.31794871794871793
Gunnar Henderson,362,115,0.31767955801104975
Justin Foscue,85,27,0.3176470588235294
Jarred Kelenic,63,20,0.31746031746031744
Jasson Domínguez,63,20,0.31746031746031744
Rafael Devers,334,106,0.31736526946107785
Manny Machado,306,97,0.31699346405228757
Colson Montgomery,306,97,0.31699346405228757
Luisangel Acuña,142,45,0.31690140845070425
Jared Young,98,31,0.3163265306122449
Spencer Torkelson,294,93,0.3163265306122449
Ramón Laureano,203,64,0.31527093596059114
Mauricio Dubón,295,93,0.3152542372881356
Giancarlo Stanton,92,29,0.31521739130434784
Jose Fernandez,178,56,0.3146067415730337
Michael Helman,35,11,0.3142857142857143
Tim Tawa,70,22,0.3142857142857143
Cedric Mullins,252,79,0.3134920634920635
Brett Baty,252,79,0.3134920634920635
Josh Smith,115,36,0.3130434782608696
Tristan Gray,147,46,0.3129251700680272
Kazuma Okamoto,310,97,0.31290322580645163
Alika Williams,48,15,0.3125
Christian Vázquez,167,52,0.31137724550898205
Derek Hill,106,33,0.3113207547169811
Royce Lewis,177,55,0.3107344632768362
Jacob Young,248,77,0.31048387096774194
Griffin Conine,29,9,0.3103448275862069
Corey Seager,200,62,0.31
Luis Torrens,142,44,0.30985915492957744
Andrés Giménez,265,82,0.30943396226415093
MJ Melendez,139,43,0.30935251798561153
Trea Turner,330,102,0.3090909090909091
Jacob Gonzalez,55,17,0.3090909090909091
Ramón Urías,68,21,0.3088235294117647
Kyle Isbel,188,58,0.30851063829787234
Jeremiah Jackson,195,60,0.3076923076923077
Eric Haase,65,20,0.3076923076923077
Javier Báez,78,24,0.3076923076923077
Bryson Stott,270,83,0.3074074074074074
Bo Bichette,339,104,0.30678466076696165
Blaze Jordan,36,11,0.3055555555555556
Jose Altuve,236,72,0.3050847457627119
Angel Martínez,246,75,0.3048780487804878
José Tena,148,45,0.30405405405405406
Marcell Ozuna,214,65,0.3037383177570093
Austin Riley,313,95,0.3035143769968051
Leo Jiménez,89,27,0.30337078651685395
Nolan Gorman,231,70,0.30303030303030304
Nick Yorke,86,26,0.3023255813953488
Marcus Semien,311,94,0.3022508038585209
Salvador Perez,311,94,0.3022508038585209
Kyle Higashioka,139,42,0.302158273381295
Ty France,169,51,0.30177514792899407
Ryan McMahon,199,60,0.3015075376884422
Jo Adell,329,99,0.3009118541033435
Andruw Monasterio,123,37,0.3008130081300813
Nate Eaton,10,3,0.3
Davis Schneider,110,33,0.3
Rodolfo Durán,60,18,0.3
Dylan Crews,110,33,0.3
Ryan Bliss,10,3,0.3
Weston Wilson,57,17,0.2982456140350877
Matt Wallner,131,39,0.29770992366412213
Daniel Schneemann,215,64,0.29767441860465116
Noelvi Marte,74,22,0.2972972972972973
Alec Bohm,296,88,0.2972972972972973
Danny Jansen,138,41,0.2971014492753623
Jackson Holliday,101,30,0.297029702970297
Andrew McCutchen,81,24,0.2962962962962963
Adolis García,260,77,0.29615384615384616
Matt Vierling,217,64,0.29493087557603687
Lawrence Butler,214,63,0.29439252336448596
Pavin Smith,51,15,0.29411764705882354
Lourdes Gurriel Jr.,119,35,0.29411764705882354
Cal Raleigh,201,59,0.2935323383084577
Ezequiel Tovar,280,82,0.29285714285714287
Caleb Durbin,236,69,0.2923728813559322
Brent Rooker,202,59,0.29207920792079206
Will Benson,113,33,0.2920353982300885
Coby Mayo,209,61,0.291866028708134
Austin Wells,168,49,0.2916666666666667
Marcelo Mayer,216,63,0.2916666666666667
Leo Rivas,117,34,0.2905982905982906
Henry Davis,148,43,0.2905405405405405
Addison Barger,31,9,0.2903225806451613
Pedro Pagés,138,40,0.2898550724637681
TJ Friedl,176,51,0.2897727272727273
Carlos Narváez,139,40,0.28776978417266186
Colt Emerson,101,29,0.2871287128712871
Trevor Story,171,49,0.28654970760233917
Brice Matthews,196,56,0.2857142857142857
Blake Perkins,98,28,0.2857142857142857
Bryce Johnson,49,14,0.2857142857142857
Jake Meyers,126,36,0.2857142857142857
Jared Oliva,7,2,0.2857142857142857
Sung-Mun Song,56,16,0.2857142857142857
Colby Thomas,70,20,0.2857142857142857
Wenceel Pérez,179,51,0.2849162011173184
Jordan Beck,88,25,0.2840909090909091
Victor Robles,60,17,0.2833333333333333
Freddy Fermin,138,39,0.2826086956521739
Brett Sullivan,117,33,0.28205128205128205
Zach McKinstry,174,49,0.28160919540229884
Garrett Stubbs,32,9,0.28125
Eli White,107,30,0.2803738317757009
Bryce Teodosio,50,14,0.28
Hao-Yu  Lee,111,31,0.27927927927927926
Patrick Bailey,154,43,0.2792207792207792
Jarren Duran,306,85,0.2777777777777778
Willy Adames,324,90,0.2777777777777778
Cody Freeman,18,5,0.2777777777777778
Travis d'Arnaud,40,11,0.275
Reese McGuire,33,9,0.2727272727272727
Luis Matos,22,6,0.2727272727272727
Drew Romo,103,28,0.27184466019417475
Tyler O'Neill,144,39,0.2708333333333333
Alejandro Kirk,48,13,0.2708333333333333
Lenyn Sosa,115,31,0.26956521739130435
J.C. Escarra,93,25,0.26881720430107525
Braden Montgomery,41,11,0.2682926829268293
Jorge Polanco,56,15,0.26785714285714285
Mark Vientos,228,61,0.2675438596491228
Adrian Del Castillo,146,39,0.2671232876712329
Connor Joe,45,12,0.26666666666666666
Jorge Barrosa,120,32,0.26666666666666666
